"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: columns","Param: period","Param: rows"
"com.openkappa.runtime.gc.RandomGraph.permute:L1-dcache-loads","thrpt",1,1,55.115190,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:L1-dcache-stores","thrpt",1,1,13.034144,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:L1-icache-load-misses","thrpt",1,1,0.003052,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:LLC-load-misses","thrpt",1,1,0.002127,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:LLC-loads","thrpt",1,1,1.281270,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:LLC-store-misses","thrpt",1,1,0.042483,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:LLC-stores","thrpt",1,1,3.681839,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:branch-misses","thrpt",1,1,0.000265,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:branches","thrpt",1,1,22.041152,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:cycles","thrpt",1,1,94.917664,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:dTLB-load-misses","thrpt",1,1,0.000883,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:dTLB-loads","thrpt",1,1,54.933456,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:dTLB-store-misses","thrpt",1,1,0.000158,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:dTLB-stores","thrpt",1,1,12.988529,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:iTLB-load-misses","thrpt",1,1,0.000083,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:iTLB-loads","thrpt",1,1,0.000216,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute:instructions","thrpt",1,1,136.189642,NaN,"#/op",100,65536,10
"com.openkappa.runtime.gc.RandomGraph.permute","thrpt",1,5,9.515672,1.580434,"ops/us",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:CPI","thrpt",1,1,2.505780,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:L1-dcache-load-misses","thrpt",1,1,19.044101,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:L1-dcache-loads","thrpt",1,1,55.022845,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:L1-dcache-stores","thrpt",1,1,13.063008,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:L1-icache-load-misses","thrpt",1,1,0.016198,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:LLC-load-misses","thrpt",1,1,0.082456,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:LLC-loads","thrpt",1,1,10.166560,NaN,"#/op",100,65536,100
