A,67123
B,13367
C,84313
D,39118
E,24967
F,10693
G,24513
H,44311
I,119636
J,60674
K,89456
L,118704
M,33058
N,11856
O,145113
P,27215
Q,9110
R,21434
S,81634
T,34706
U,6174
V,6378
W,129745
X,23244
Y,75012
Z,61664
a,139852
b,82836
c,20421
d,6066
e,159728
f,22732
g,114115
h,57928
i,158907
j,101768
k,110540
l,148835
m,168484
n,122548
o,169469
p,103019
q,110237
r,109094
s,35741
t,34648
u,202480
v,142871
w,12997
x,9470
y,55623
z,47815
0,6830
1,4389
2,33870
3,26758
4,77355
5,327054
6,148962
7,115325
8,34033
9,17889
+,133944
/,33925
