0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,33457
11,0
12,0
13,3
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,31305
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,2
41,2
42,0
43,0
44,5
45,0
46,2380
47,0
48,123
49,640
50,423
51,290
52,229
53,167
54,154
55,133
56,136
57,124
58,104
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,1
68,0
69,0
70,0
71,0
72,0
73,4
74,2
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,12
98,3
99,9
100,6
101,19
102,6
103,2
104,7
105,12
106,0
107,1
108,5
109,2
110,15
111,18
112,7
113,0
114,13
115,12
116,15
117,5
118,2
119,0
120,1
121,1
122,0
123,0
124,0
125,0
126,0
127,0
128,144091
129,40346
130,59567
131,24709
132,73375
133,32613
134,28343
135,22373
136,58643
137,43556
138,36160
139,38034
140,96618
141,34584
142,22843
143,35902
144,27142
145,64910
146,33101
147,14065
148,18566
149,19414
150,45729
151,23487
152,24981
153,26711
154,75702
155,39043
156,62244
157,18226
158,21765
159,24700
160,38561
161,21521
162,13962
163,28584
164,17924
165,37092
166,31039
167,11372
168,33926
169,23179
170,31973
171,17884
172,11841
173,31527
174,17203
175,39505
176,37826
177,27484
178,15731
179,14242
180,15964
181,13175
182,25452
183,19849
184,52012
185,16783
186,86582
187,57459
188,104236
189,54512
190,34836
191,28218
192,0
193,0
194,29
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,17815
227,39943
228,173299
229,297043
230,178375
231,164400
232,131724
233,78471
234,0
235,0
236,0
237,0
238,0
239,90414
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
