"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: size"
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,37.581616,1.488284,"ns/op",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,1619.083855,67.000427,"MB/sec",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,96.000016,0.000002,"B/op",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,1621.873232,83.087289,"MB/sec",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,96.169851,4.947550,"B/op",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004581,0.007327,"MB/sec",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000272,0.000437,"B/op",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,183.000000,NaN,"counts",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,50.000000,NaN,"ms",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,39.432062,5.169914,"ns/op",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,1792.400383,269.442269,"MB/sec",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,112.000017,0.000004,"B/op",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,1789.919718,327.731696,"MB/sec",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,111.817267,4.867944,"B/op",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004550,0.007494,"MB/sec",ISO-8859-1,20
