"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: size"
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,53.365272,3.074366,"ns/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,1136.959005,70.828007,"MB/sec",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,96.000023,0.000001,"B/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,1131.097928,95.001072,"MB/sec",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,95.525003,9.990959,"B/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004782,0.005852,"MB/sec",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000404,0.000499,"B/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,129.000000,NaN,"counts",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,38.000000,NaN,"ms",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,68.479537,2.202096,"ns/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,1181.715936,34.135858,"MB/sec",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,128.000030,0.000001,"B/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,1184.639362,76.391138,"MB/sec",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,128.315670,7.117477,"B/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004517,0.008392,"MB/sec",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000490,0.000922,"B/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,134.000000,NaN,"counts",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,39.000000,NaN,"ms",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,192.282069,6.437262,"ns/op",US-ASCII,200
