"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: size"
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,1792.383555,60.669621,"MB/sec",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,48.000007,0.000001,"B/op",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,1790.012797,99.377326,"MB/sec",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,47.935354,1.532325,"B/op",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004692,0.006992,"MB/sec",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000126,0.000191,"B/op",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,202.000000,NaN,"counts",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,23.000000,NaN,"ms",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,19.064921,4.082609,"ns/op",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,2124.140632,460.153142,"MB/sec",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,64.000008,0.000002,"B/op",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,2125.648465,543.280239,"MB/sec",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,64.016139,3.363094,"B/op",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004612,0.008342,"MB/sec",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000139,0.000247,"B/op",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,241.000000,NaN,"counts",ISO-8859-1,20
