"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isPresent","Param: scenario"
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000199,0.000135,"B/op",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,177.000000,NaN,"counts",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,20.000000,NaN,"ms",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,24.098976,0.479819,"ops/us",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,367.115116,7.313108,"MB/sec",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,24.000017,0.000001,"B/op",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space","thrpt",1,15,363.928204,19.713405,"MB/sec",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space.norm","thrpt",1,15,23.794557,1.257409,"B/op",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space","thrpt",1,15,0.002528,0.001771,"MB/sec",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000165,0.000115,"B/op",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,123.000000,NaN,"counts",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,16.000000,NaN,"ms",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,23.759017,0.460972,"ops/us",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,361.354901,7.107736,"MB/sec",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,24.000017,0.000000,"B/op",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space","thrpt",1,15,363.339182,19.593949,"MB/sec",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space.norm","thrpt",1,15,24.128200,1.102959,"B/op",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space","thrpt",1,15,0.002517,0.001750,"MB/sec",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000167,0.000117,"B/op",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,123.000000,NaN,"counts",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,17.000000,NaN,"ms",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,21.473803,0.411786,"ops/us",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,326.978759,6.222644,"MB/sec",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,24.000019,0.000001,"B/op",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space","thrpt",1,15,325.316574,23.121847,"MB/sec",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space.norm","thrpt",1,15,23.875281,1.576295,"B/op",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space","thrpt",1,15,0.001934,0.002162,"MB/sec",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000141,0.000157,"B/op",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,110.000000,NaN,"counts",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,15.000000,NaN,"ms",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,21.524173,0.393322,"ops/us",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,327.611185,5.770428,"MB/sec",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,24.000020,0.000001,"B/op",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space","thrpt",1,15,328.117431,23.595427,"MB/sec",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space.norm","thrpt",1,15,24.040207,1.730441,"B/op",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space","thrpt",1,15,0.001813,0.001923,"MB/sec",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000133,0.000140,"B/op",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,111.000000,NaN,"counts",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,14.000000,NaN,"ms",false,FOUR
