"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.churn.Eden_Space","avgt",1,5,194.354932,95.018573,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.churn.Eden_Space.norm","avgt",1,5,32.221451,15.521320,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.churn.Survivor_Space","avgt",1,5,0.001804,0.002960,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000309,0.000629,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.count","avgt",1,5,22.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.time","avgt",1,5,4.000000,NaN,"ms"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight","avgt",1,5,33.237779,2.077222,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.alloc.rate","avgt",1,5,915.021977,58.699704,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.alloc.rate.norm","avgt",1,5,48.000014,0.000001,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.churn.Eden_Space","avgt",1,5,912.432989,95.256322,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.churn.Eden_Space.norm","avgt",1,5,47.857968,2.141725,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.churn.Survivor_Space","avgt",1,5,0.004348,0.006843,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000228,0.000351,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.count","avgt",1,5,103.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.time","avgt",1,5,13.000000,NaN,"ms"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour","avgt",1,5,16.610465,0.906318,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.alloc.rate","avgt",1,5,1219.017838,62.412828,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.alloc.rate.norm","avgt",1,5,32.000007,0.000000,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.churn.Eden_Space","avgt",1,5,1220.841780,90.155358,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.churn.Eden_Space.norm","avgt",1,5,32.048312,1.836951,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.churn.Survivor_Space","avgt",1,5,0.004275,0.007212,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000112,0.000190,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.count","avgt",1,5,138.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.time","avgt",1,5,16.000000,NaN,"ms"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen","avgt",1,5,56.557226,3.012126,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.alloc.rate","avgt",1,5,893.043015,63.578760,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.alloc.rate.norm","avgt",1,5,80.000023,0.000001,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.churn.Eden_Space","avgt",1,5,891.558292,83.721964,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.churn.Eden_Space.norm","avgt",1,5,79.868071,5.093231,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.churn.Survivor_Space","avgt",1,5,0.004337,0.006831,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000387,0.000593,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.count","avgt",1,5,101.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.time","avgt",1,5,13.000000,NaN,"ms"
