"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: size"
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,12.876348,0.600078,"ns/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,1178.851612,47.076972,"MB/sec",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,24.000005,0.000001,"B/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,1176.171779,86.057248,"MB/sec",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,23.943947,0.915075,"B/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004173,0.007432,"MB/sec",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000085,0.000150,"B/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,133.000000,NaN,"counts",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,16.000000,NaN,"ms",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,22.210478,0.974354,"ns/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,1140.222137,56.126447,"MB/sec",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,40.000009,0.000002,"B/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,1142.000285,80.222161,"MB/sec",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,40.062808,2.186299,"B/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004162,0.007264,"MB/sec",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000146,0.000255,"B/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,129.000000,NaN,"counts",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,16.000000,NaN,"ms",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,149.431953,5.661583,"ns/op",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,912.553106,28.995184,"MB/sec",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,216.000062,0.000007,"B/op",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,918.103561,79.086024,"MB/sec",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,217.298182,13.436242,"B/op",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004250,0.007018,"MB/sec",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.001008,0.001690,"B/op",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,104.000000,NaN,"counts",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,14.000000,NaN,"ms",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,1405.597342,59.051782,"ns/op",US-ASCII,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,907.453165,42.176423,"MB/sec",US-ASCII,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,2016.000573,0.000024,"B/op",US-ASCII,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,911.170265,89.639863,"MB/sec",US-ASCII,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,2024.783945,264.734780,"B/op",US-ASCII,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004181,0.007400,"MB/sec",US-ASCII,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.009317,0.016912,"B/op",US-ASCII,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,103.000000,NaN,"counts",US-ASCII,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,18.000000,NaN,"ms",US-ASCII,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,12.458455,0.633712,"ns/op",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,1219.585910,63.008537,"MB/sec",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,24.000005,0.000001,"B/op",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,1221.568542,94.993016,"MB/sec",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,24.038790,1.315112,"B/op",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004162,0.007317,"MB/sec",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000082,0.000145,"B/op",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,138.000000,NaN,"counts",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,16.000000,NaN,"ms",ISO-8859-1,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,14.023266,3.820569,"ns/op",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,1806.368839,470.102038,"MB/sec",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,40.000006,0.000002,"B/op",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,1808.745757,400.227869,"MB/sec",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,40.077064,1.846255,"B/op",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004474,0.006482,"MB/sec",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000099,0.000135,"B/op",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,205.000000,NaN,"counts",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,21.000000,NaN,"ms",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,30.561528,7.713240,"ns/op",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,4489.094455,1039.694349,"MB/sec",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,216.000012,0.000003,"B/op",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,4488.897370,1000.864253,"MB/sec",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,216.017253,3.490265,"B/op",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004493,0.009282,"MB/sec",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000223,0.000531,"B/op",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,507.000000,NaN,"counts",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,46.000000,NaN,"ms",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,281.606763,61.625903,"ns/op",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,4534.641229,1002.457720,"MB/sec",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,2016.000117,0.000024,"B/op",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,4541.944881,1027.022263,"MB/sec",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,2019.131569,32.688281,"B/op",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004488,0.009106,"MB/sec",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.002049,0.004771,"B/op",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,514.000000,NaN,"counts",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,44.000000,NaN,"ms",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,13.835438,0.661028,"ns/op",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,1095.492884,42.692051,"MB/sec",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,24.000006,0.000001,"B/op",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,1103.764202,115.003444,"MB/sec",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,24.179732,2.037000,"B/op",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004176,0.007219,"MB/sec",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000091,0.000156,"B/op",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,125.000000,NaN,"counts",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,15.000000,NaN,"ms",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,17.457885,2.175969,"ns/op",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,1445.813675,187.976813,"MB/sec",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,40.000007,0.000002,"B/op",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,1445.984712,196.888524,"MB/sec",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,40.003901,1.164416,"B/op",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004220,0.007221,"MB/sec",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000116,0.000190,"B/op",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,164.000000,NaN,"counts",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,19.000000,NaN,"ms",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,30.758900,8.336043,"ns/op",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,4460.118090,1152.755228,"MB/sec",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,216.000013,0.000003,"B/op",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,4468.956539,1204.317735,"MB/sec",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,216.392335,3.495501,"B/op",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004450,0.009050,"MB/sec",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000223,0.000534,"B/op",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,505.000000,NaN,"counts",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,44.000000,NaN,"ms",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,280.886995,61.136388,"ns/op",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,4535.834524,989.379241,"MB/sec",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,2016.000116,0.000024,"B/op",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,4549.363155,957.897555,"MB/sec",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,2022.229949,42.680791,"B/op",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004481,0.009119,"MB/sec",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.002043,0.004754,"B/op",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,516.000000,NaN,"counts",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,47.000000,NaN,"ms",UTF-8,2000
