A,20468
B,202922
C,41519
D,24958
E,55515
F,80218
G,192762
H,94020
I,198929
J,48138
K,13923
L,26664
M,11344
N,48051
O,23869
P,1759
Q,15745
R,65431
S,153853
T,10398
U,62758
V,55381
W,142450
X,67871
Y,108604
Z,180207
a,178256
b,179982
c,115986
d,122172
e,13731
f,0
g,199631
h,115193
i,33889
j,6238
k,84461
l,135877
m,178447
n,39782
o,34502
p,165425
q,54181
r,23389
s,46801
t,51377
u,52850
v,86345
w,53651
x,38413
y,58779
z,43184
0,41136
1,57786
2,135870
3,49855
4,12981
5,44520
6,31205
7,8436
8,20979
9,62813
+,4306
/,6946
