A,76029
B,48825
C,803341
D,293702
E,5314
F,9422
G,254646
H,73412
I,214506
J,28340
K,18535
L,751719
M,23158
N,379805
O,14060
P,55027
Q,653419
R,252316
S,40255
T,37063
U,25377
V,1693
W,56
X,65759
Y,256127
Z,14
a,734
b,12582
c,4124
d,183842
e,1293
f,22857
g,385243
h,26506
i,84002
j,97746
k,14860
l,3399
m,7771
n,10922
o,13057
p,1165
q,132
r,31006
s,185023
t,339834
u,156356
v,241036
w,109377
x,15043
y,83434
z,44654
0,936302
1,78546
2,8150
3,61115
4,107421
5,8685
6,26499
7,129075
8,40029
9,179274
+,99970
/,55472
