"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isPresent","Param: scenario"
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.time","thrpt",1,15,21.000000,NaN,"ms",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue","thrpt",1,15,24.625237,0.535002,"ops/us",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate","thrpt",1,15,375.162193,8.090922,"MB/sec",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate.norm","thrpt",1,15,24.000017,0.000001,"B/op",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space","thrpt",1,15,372.830073,24.004408,"MB/sec",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space.norm","thrpt",1,15,23.850665,1.435156,"B/op",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space","thrpt",1,15,0.002528,0.001784,"MB/sec",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000161,0.000112,"B/op",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.count","thrpt",1,15,126.000000,NaN,"counts",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.time","thrpt",1,15,15.000000,NaN,"ms",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue","thrpt",1,15,24.039407,0.432007,"ops/us",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate","thrpt",1,15,365.261649,7.339412,"MB/sec",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate.norm","thrpt",1,15,24.000017,0.000001,"B/op",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space","thrpt",1,15,365.882883,20.746115,"MB/sec",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space.norm","thrpt",1,15,24.055442,1.583996,"B/op",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space","thrpt",1,15,0.002520,0.001772,"MB/sec",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000166,0.000117,"B/op",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.count","thrpt",1,15,124.000000,NaN,"counts",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.time","thrpt",1,15,15.000000,NaN,"ms",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue","thrpt",1,15,21.976675,0.741998,"ops/us",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate","thrpt",1,15,334.540880,11.215663,"MB/sec",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate.norm","thrpt",1,15,24.000019,0.000001,"B/op",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space","thrpt",1,15,334.094859,24.460609,"MB/sec",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space.norm","thrpt",1,15,23.976280,1.711162,"B/op",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space","thrpt",1,15,0.001939,0.002353,"MB/sec",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000139,0.000169,"B/op",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.count","thrpt",1,15,113.000000,NaN,"counts",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.time","thrpt",1,15,15.000000,NaN,"ms",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue","thrpt",1,15,22.183469,0.435140,"ops/us",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate","thrpt",1,15,337.881125,6.774803,"MB/sec",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate.norm","thrpt",1,15,24.000019,0.000001,"B/op",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space","thrpt",1,15,340.187851,22.973744,"MB/sec",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space.norm","thrpt",1,15,24.173478,1.732018,"B/op",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space","thrpt",1,15,0.001849,0.001942,"MB/sec",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000131,0.000137,"B/op",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.count","thrpt",1,15,115.000000,NaN,"counts",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.time","thrpt",1,15,16.000000,NaN,"ms",false,FOUR
