"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: logPermutations","Param: seed","Param: size"
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-stores","thrpt",1,1,4.975710,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:L1-icache-load-misses","thrpt",1,1,0.004960,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-load-misses","thrpt",1,1,0.000993,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-loads","thrpt",1,1,0.002196,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-store-misses","thrpt",1,1,0.000419,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-stores","thrpt",1,1,0.002052,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:branch-misses","thrpt",1,1,0.001110,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:branches","thrpt",1,1,43.220619,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:cycles","thrpt",1,1,36.502962,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-load-misses","thrpt",1,1,0.000327,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-loads","thrpt",1,1,44.467675,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-store-misses","thrpt",1,1,0.000024,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-stores","thrpt",1,1,4.946598,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-load-misses","thrpt",1,1,0.000029,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-loads","thrpt",1,1,0.000118,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:instructions","thrpt",1,1,161.830215,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,16.573072,0.153039,"ops/us",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:CPI","thrpt",1,1,0.219132,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-load-misses","thrpt",1,1,2.888975,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-loads","thrpt",1,1,274.406943,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-stores","thrpt",1,1,5.249667,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:L1-icache-load-misses","thrpt",1,1,0.037584,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-load-misses","thrpt",1,1,0.003819,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-loads","thrpt",1,1,0.007844,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-store-misses","thrpt",1,1,0.000471,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-stores","thrpt",1,1,0.001336,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:branch-misses","thrpt",1,1,0.804280,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:branches","thrpt",1,1,297.184076,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:cycles","thrpt",1,1,209.843851,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-load-misses","thrpt",1,1,0.000275,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-loads","thrpt",1,1,275.985942,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-store-misses","thrpt",1,1,0.000119,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-stores","thrpt",1,1,5.104177,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-load-misses","thrpt",1,1,0.000270,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-loads","thrpt",1,1,0.000708,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:instructions","thrpt",1,1,957.614710,NaN,"#/op",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,4.957036,0.080132,"ops/us",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:CPI","thrpt",1,1,0.192826,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-load-misses","thrpt",1,1,16.325334,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-loads","thrpt",1,1,1030.407382,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-stores","thrpt",1,1,5.557543,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:L1-icache-load-misses","thrpt",1,1,0.127564,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-load-misses","thrpt",1,1,0.002400,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-loads","thrpt",1,1,0.027810,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-store-misses","thrpt",1,1,0.002585,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-stores","thrpt",1,1,0.001495,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:branch-misses","thrpt",1,1,1.958863,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:branches","thrpt",1,1,1138.200657,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:cycles","thrpt",1,1,689.431278,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-load-misses","thrpt",1,1,0.002069,NaN,"#/op",7,1,1024
