"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.churn.Eden_Space","thrpt",1,5,248.982134,93.650539,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.churn.Eden_Space.norm","thrpt",1,5,32.229978,12.143148,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.churn.Survivor_Space","thrpt",1,5,0.004744,0.013469,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.churn.Survivor_Space.norm","thrpt",1,5,0.000615,0.001747,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.count","thrpt",1,5,28.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.time","thrpt",1,5,9.000000,NaN,"ms"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight","thrpt",1,5,26.055030,1.517869,"ops/us"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.alloc.rate","thrpt",1,5,797.484116,38.090458,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.alloc.rate.norm","thrpt",1,5,48.177938,1.525363,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.churn.Eden_Space","thrpt",1,5,800.306566,0.271414,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.churn.Eden_Space.norm","thrpt",1,5,48.354588,2.824735,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.churn.Survivor_Space","thrpt",1,5,0.064494,0.242172,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.churn.Survivor_Space.norm","thrpt",1,5,0.003921,0.014818,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.count","thrpt",1,5,90.000000,NaN,"counts"
