"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: logPermutations","Param: seed","Param: size"
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.589835,0.104110,"ops/us",7,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.685885,0.023211,"ops/us",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.831086,0.468326,"ops/us",8,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,126.300177,0.170441,"ops/us",8,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.756319,0.363307,"ops/us",8,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.584733,0.179436,"ops/us",8,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.686908,0.018007,"ops/us",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.896073,0.283230,"ops/us",9,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.644690,0.712709,"ops/us",9,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.561357,0.239828,"ops/us",9,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.566293,0.084768,"ops/us",9,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.689026,0.015377,"ops/us",9,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,206.447439,6.830101,"ops/us",10,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.588908,0.407656,"ops/us",10,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.512287,0.191074,"ops/us",10,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.547456,0.099033,"ops/us",10,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.677304,0.016011,"ops/us",10,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.470818,0.472932,"ops/us",11,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.431721,0.322048,"ops/us",11,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.561681,0.166030,"ops/us",11,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.476837,0.118391,"ops/us",11,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.532633,0.693133,"ops/us",11,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.150477,0.981677,"ops/us",12,1,8
