"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isPresent","Param: scenario"
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate","thrpt",1,15,0.000263,0.000009,"MB/sec",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate.norm","thrpt",1,15,0.000002,0.000000,"B/op",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.count","thrpt",1,15,0.000000,NaN,"counts",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation","thrpt",1,15,198.241125,2.351662,"ops/us",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate","thrpt",1,15,0.000263,0.000009,"MB/sec",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate.norm","thrpt",1,15,0.000002,0.000000,"B/op",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.count","thrpt",1,15,0.000000,NaN,"counts",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation","thrpt",1,15,88.187145,3.908423,"ops/us",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate","thrpt",1,15,893.989376,39.625115,"MB/sec",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate.norm","thrpt",1,15,16.000005,0.000000,"B/op",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.churn.Eden_Space","thrpt",1,15,894.376223,45.468844,"MB/sec",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.churn.Eden_Space.norm","thrpt",1,15,16.004388,0.247885,"B/op",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.churn.Survivor_Space","thrpt",1,15,0.004541,0.001662,"MB/sec",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000081,0.000029,"B/op",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.count","thrpt",1,15,303.000000,NaN,"counts",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.time","thrpt",1,15,36.000000,NaN,"ms",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation","thrpt",1,15,89.715024,2.234652,"ops/us",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate","thrpt",1,15,910.752177,23.609550,"MB/sec",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate.norm","thrpt",1,15,16.000005,0.000000,"B/op",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.churn.Eden_Space","thrpt",1,15,907.953744,30.715349,"MB/sec",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.churn.Eden_Space.norm","thrpt",1,15,15.951195,0.366310,"B/op",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.churn.Survivor_Space","thrpt",1,15,0.004556,0.001671,"MB/sec",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000080,0.000028,"B/op",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.count","thrpt",1,15,307.000000,NaN,"counts",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.time","thrpt",1,15,31.000000,NaN,"ms",false,FOUR
