A,20946
B,229324
C,96451
D,23669
E,49401
F,81448
G,239570
H,106660
I,272922
J,66345
K,14486
L,36531
M,27734
N,80862
O,27855
P,2508
Q,53378
R,104469
S,74304
T,19196
U,54406
V,203566
W,236038
X,110064
Y,108005
Z,295198
a,141531
b,195282
c,145278
d,162205
e,10067
f,6460
g,247029
h,106497
i,115886
j,33329
k,81095
l,259323
m,133072
n,61213
o,57041
p,107676
q,1173
r,7253
s,62877
t,37715
u,122002
v,31554
w,50335
x,35500
y,104378
z,62293
0,65401
1,61101
2,130876
3,46397
4,63852
5,65005
6,16499
7,15522
8,16406
9,23786
+,29
/,2626
